preferredLabel,broaderpreferredLabel
philosophy of mathematics,philosophy
Shiva (digital game creation systems),digital game creation systems
OWASP ZAP,penetration testing tool
bioethics,biotechnology
biological chemistry,chemistry
Drupal,WebCMS
leather goods manufacturing processes,manufacturing processes
types of foil printing machines,printing on large scale machines
embedded systems,ICT infrastructure
Engrade,learning management systems
product life-cycle,circular economy
local area tourism industry,geographical areas relevant to tourism
local area tourism industry,tourism market
city road network,national road network
Oracle Warehouse Builder,"data extraction, transformation and loading tools"
international human rights law,international law
international human rights law,social justice
media studies,communication studies
hydraulic fluid,fluid mechanics
wind energy,renewable energy
cognitive psychology,experimental psychology
cognitive psychology,psychological theories
cognitive psychology,psychology
chemical reactions of roasting cacao beans,roasting coffee
LESS,style sheet languages
abrasive blasting processes,abrasive machining processes
land use for airport planning,urban planning
Adobe Illustrator,graphics editor software
spatial planning,urban planning
restorative justice,social justice
allergic cosmetics reactions,allergies
Nessus,penetration testing tool
intellectual property law,property law
3D printing process,printed goods processes
3D printing process,printing media
chemical products,product comprehension
international regulations for preventing collisions at sea,maritime law
Prolog (computer programming),computer programming
furniture trends,manufacturing of furniture
military logistics,logistics
textile marketing techniques,textile techniques
mechanics of vessels,mechanics
computer history,history
Octopus Deploy,tools for software configuration management
"agricultural raw materials, seeds and animal feed products",product comprehension
OpenEdge Advanced Business Language,computer programming
sustainable installation materials,building materials industry
political science,social sciences
textile industry machinery products,product comprehension
health care occupation-specific ethics,ethics
Iterative development,ICT project management methodologies
neuroanatomy of animals,anatomy of animals
International Maritime Organisation conventions,maritime law
photography,reprography
tobacco manufacturing regulations,manufacturing of smoked tobacco products
machine learning,principles of artificial intelligence
CADD software,CAD software
animal evolution,natural history
yoga,relaxation techniques
Oracle Data Integrator,"data extraction, transformation and loading tools"
colours of roasted malt,colour ranges of roasting
alloys of precious metals,types of metal
theatre pedagogy,pedagogy
engineering control theory,instrumentation engineering
maritime electric drives,electric drives
JavaScript,computer programming
JavaScript,web programming
DB2,database management systems
Microsoft Access,database management systems
applied therapeutics related to medicines,medicines
European firearms-control legislation,EU law
clinical biochemistry,biological chemistry
XQuery,query languages
bakery ingredients,food product ingredients
test leather chemistry,leather chemistry
footwear industry,clothing industry
inland waterway police regulations,european classification of inland waterways
clothing sizes,standard sizing systems for clothing
Perl,computer programming
islamic studies,religious studies
vessel fuels,types of fuels
properties of textile materials,fabric types
properties of textile materials,textile trends
Pentaho Data Integration,"data extraction, transformation and loading tools"
regulations for international transportation,road transport legislation
Smalltalk (computer programming),computer programming
biomedical scientists' role in health care system,health care system
PHP,computer programming
PHP,web programming
OpenEdge Database,database management systems
aircraft cargo capacity,vehicle cargo capacity
Xcode,integrated development environment software
video-games trends,toys and games trends
veterinary terminology,terminology
ferrous metal processing,types of metal manufacturing processes
enzymatic processing,biotechnology
Assembly (computer programming),computer programming
manufacturing process of ice cream,manufacturing processes
safety engineering,security engineering
Spiral development,ICT project management methodologies
Schoology,learning management systems
history of literature,literature
manufacture of electrical wire products,manufacture of small metal parts
milk production process,production processes
ObjectStore,database management systems
clothing and footwear products,product comprehension
Chef (tools for software configuration management),tools for software configuration management
electronic and telecommunication equipment,product comprehension
GIMP (graphics editor software),graphics editor software
automated analysers in the medical laboratory,laboratory techniques
C#,computer programming
local waters of the port,local geography
radiation physics in healthcare,physics
comparative literature,literature
MySQL,database management systems
TripleStore,database management systems
parimutuel betting,gambling games
Metasploit,penetration testing tool
grain-for-beverages milling process,beverages production process
grain-for-beverages milling process,food and beverage industry
grain-for-beverages milling process,processes of foods and beverages manufacturing
evolution of economic forecasts,economics
clinical biology,biology
hydroelectricity,renewable energy
R,statistical analysis system software
geothermal energy,renewable energy
adolescence medicine,medicines
petroleum coking techniques,coking process
types of electronics,electronics
types of electronics,electronics principles
Groovy,computer programming
aircraft mechanics,mechanics
green space strategies,urban planning
urban sustainability,urban planning
manufacturing of metal household articles,manufacturing of daily use goods
bicycle mechanics,mechanics
disability care,disability types
aquatic species,biology
LAMS,learning management systems
proxy servers,ICT infrastructure
Aircrack (penetration testing tool),penetration testing tool
locking mechanisms,manufacturing of door furniture from metal
Codenvy,tools for software configuration management
screw manufacturing processes,manufacturing of metal assembly products
artificial neural networks,principles of artificial intelligence
transportation vehicles for horses,animal transportation vehicles
ASP.NET,computer programming
biosafety in biomedical laboratory,biomedical science
biosafety in biomedical laboratory,laboratory techniques
Backbox (penetration testing tool),penetration testing tool
airtight construction,energy efficiency
social pedagogy,pedagogy
APL,computer programming
rail project financing,public finance
human ear,human anatomy
national regulations on handling cargo,international regulations for cargo handling
SQL,query languages
office equipment,product comprehension
construction products,product comprehension
neonatology,paediatrics
screen printing machines,printing on large scale machines
commodities in maritime transportation,shipping industry
tobacco products,product comprehension
SPARQL,query languages
SPARQL,resource description framework query language
import export regulations of dangerous chemicals,international import export regulations
court interpreting,interpreting modes
e-learning,learning technologies
agricultural equipment,product comprehension
European vehicle type-approval legislation,EU law
collection management software,collection management
organic building materials,building materials industry
psychopharmacology,psychopathology
Brightspace (learning management systems),learning management systems
production engineering,industrial engineering
natural gas,alternative fuels
European pesticide legislation,EU law
pharmacology,fundamental veterinary sciences
rehabilitation of all organ systems,rehabilitation
school psychology,psychological theories
breathing techniques,speech techniques
Kali Linux,penetration testing tool
ICT sales methodologies,sales strategies
history of philosophy,philosophy
textile chemistry,chemistry
Outsourcing model,service-oriented modelling
envelope systems for buildings,zero-energy building design
Puppet (tools for software configuration management),tools for software configuration management
dairy and edible oil products,product comprehension
hybrid model,service-oriented modelling
wine fermentation process,fermentation processes of beverages
wine fermentation process,production scale fermentation
"fish, crustacean and mollusc products",product comprehension
"sugar, chocolate and sugar confectionery products",product comprehension
food products composition,animal food products
web programming,computer programming
STAF,tools for software configuration management
Waterfall development,ICT project management methodologies
diagnostic immunology techniques,immunology
Vagrant,tools for software configuration management
Eclipse (integrated development environment software),integrated development environment software
consumer electronics,electronics
art history,history
WordPress,WebCMS
beverages filtration processes,beverages production process
beverages filtration processes,food and beverage industry
beverages filtration processes,processes of foods and beverages manufacturing
oceanography,Earth science
"textile products, textile semi-finished products and raw materials",product comprehension
sport history,history
gastroenterological surgery,gastroenterology
gastroenterological surgery,general surgery
SQL Server Integration Services,"data extraction, transformation and loading tools"
Ansible,tools for software configuration management
machinery products,product comprehension
contraindications,massage theory
forest conservation,agroforestry
rigging terminology,terminology
Cisco,procurement of ICT network equipment
Oracle WebLogic,web programming
Prince2 project management,ICT project management methodologies
unified modelling language,software architecture models
sports ethics,ethics
emergency psychology,psychological theories
zoning codes,urban planning
chuchotage interpreting,interpreting modes
NoSQL,database management systems
quantitative risk analysis techniques,risk management
computational fluid dynamics,fluid mechanics
tape transcription,transcription methods
causes of damage to paved surfaces in airports,geological factors in airport construction
fermentation processes of food,processes of foods and beverages manufacturing
fermentation processes of food,production scale fermentation
GameSalad,digital game creation systems
John The Ripper (penetration testing tool),penetration testing tool
radiobiology,biology
morality,ethics
industrial paint,types of paint
cultural geography,geography
predictive maintenance,maintenance operations
urban planning,urban planning law
room aesthetics,aesthetics
tropical medicine,medicines
horse anatomy,anatomy of animals
aerodynamics,aerospace engineering
IBM InfoSphere Information Server,"data extraction, transformation and loading tools"
nuclear energy,alternative energy
"hides, skins and leather products",product comprehension
Microsoft Visual C++,integrated development environment software
mechanics of trolley buses,electrical operation of trolley buses
IBM Informix,database management systems
SketchBook Pro,graphics editor software
TypeScript,computer programming
developmental psychology,psychological theories
developmental psychology,psychology
Microsoft Visio,graphics editor software
power electronics,electronics
polymer chemistry,chemistry
Oracle Application Development Framework,software frameworks
JSSS,style sheet languages
fluid mechanics,mechanics
sociology,social sciences
behavioural neurology,neurology
qualitative risk analysis techniques,risk management
"furniture, carpet and lighting equipment products",product comprehension
types of tile adhesive,adhesives
BlackArch,penetration testing tool
clinical psychological treatment,diagnosis of mental health issues
clinical psychological treatment,psychology
immunology,fundamental veterinary sciences
starch production processes,production processes
geology,Earth science
voice interpreting,interpreting modes
Ajax Framework,software frameworks
battery components,energy storage systems
Montessori philosophy,philosophy
casino game rules,games rules
meat and meat products,product comprehension
pronunciation techniques,speech techniques
cloud monitoring and reporting,cloud technologies
"hardware, plumbing and heating equipment products",product comprehension
molecular biology,biology
alternative energy,energy
Wireshark,penetration testing tool
manufacturing of children clothing,clothing industry
biochemical processes of cider production,beverages production process
biochemical processes of cider production,production processes
soil science,Earth science
writing techniques,literary techniques
beverage products,product comprehension
manufacturing of steel drums and similar containers,metalworking
Grovo,learning management systems
rural development strategies,urban planning
therapeutic massage,massage types
Rapid application development,ICT project management methodologies
mobile operating systems,operating systems
green logistics,logistics
QlikView Expressor,"data extraction, transformation and loading tools"
European Structural and Investment Funds regulations,EU law
lift safety mechanisms,mechanics
resource description framework query language,query languages
CoffeeScript,computer programming
Objective-C,computer programming
computer equipment,product comprehension
ABBYY FineReader,optical character recognition software
anodising specifications,anodising process
JavaScript Framework,software frameworks
fruit and vegetable products,product comprehension
mini wind power generation,wind energy
id Tech,digital game creation systems
types of deburring brush,types of brushes
archaeobotany,archaeology
animal reproductive system,anatomy of animals
animal reproductive system,reproductive health
data mining methods,data mining
epidemiology,fundamental veterinary sciences
HeroEngine,digital game creation systems
animal health rules of distribution of products of animal origin,animal food products
animal health rules of distribution of products of animal origin,animal production science
electrical household appliances products,electrical household goods market
electrical household appliances products,product comprehension
computational linguistics,linguistics
industrial tools,manufacturing of tools
freight transport methods,transportation methods
child psychiatry,psychiatry
biostatistics,biology
biostatistics,statistics
Project Anarchy,digital game creation systems
cold forging,forging processes
paediatric surgery,paediatrics
ML (computer programming),computer programming
IBM WebSphere,web programming
LDAP,query languages
lottery company policies,company policies
forensic linguistics,linguistics
leather chemistry,chemistry
graphics editor software,ICT software specifications
types of waste collection vehicles,types of vehicles
Havok Vision,digital game creation systems
medical furniture,manufacturing of furniture
Litmos,learning management systems
PostgreSQL,database management systems
manufacturing of by-products from tobacco,manufacturing of smoked tobacco products
Sakai,learning management systems
International Convention for the Prevention of Pollution from Ships,maritime law
clinical examinations in dietetics,dietetics
footwear machinery,functionalities of machinery
pharmaceutical chemistry,chemistry
battery testers,energy storage systems
human psychological development,psychology
mechanics of trains,mechanics
types of packaging used in industrial shipments,shipping industry
types of packaging used in industrial shipments,types of packaging materials
SPARK,software frameworks
Parrot Security OS,penetration testing tool
Unreal Engine,digital game creation systems
grain dehydration recipes,food dehydration processes
Synfig,graphics editor software
biomass conversion,alternative fuels
biomass conversion,bioeconomy
dust usage for forging,forging processes
Open source model,service-oriented modelling
WildFly,web programming
european food safety policy,food policy
labour law,corporate law
aluminium alloys,alloys of precious metals
AJAX,computer programming
AJAX,web programming
surface engineering,environmental engineering
C++,computer programming
cold drawing processes,metal drawing processes
aviation meteorology,meteorology
stock market,financial markets
Filemaker (database management systems),database management systems
waste and scrap products,product comprehension
BlackBerry,mobile operating systems
"risks associated to physical, chemical, biological hazards in food and beverages",food and beverage industry
Samurai Web Testing Framework,penetration testing tool
SAP R3,computer programming
street art history,art history
shiatsu,massage types
respiratory medicine,medicines
Frostbite (digital game creation systems),digital game creation systems
Swift (computer programming),computer programming
manufacturing of heating equipment,metalworking
Moodle,learning management systems
pneumatics,mechanical systems
philosophical schools of thought,history of philosophy
types of metal manufacturing processes,manufacturing processes
SQL Server,database management systems
radiological photography,photography
radiological photography,radiological procedures
radiological photography,radiology
ingredients for ice cream manufacturing,dairy manufacturing specifications
museum databases,database
metalogic,logic
food allergies,allergies
food allergies,dietary regimes
anthropology,social sciences
footwear stitching techniques,footwear creation process
beverages production process,production processes
biotechnology in aquaculture,biotechnology
animal biology,biology
MATLAB,computer programming
international import export regulations,regulations for international transportation
CAD for footwear,CAD software
solar products,renewable energy
agroecology,ecology
watches and jewellery products,product comprehension
quality standards applicable to aquaculture products,quality standards
CA Datacom/DB,database management systems
biogas energy,renewable energy
Salt (tools for software configuration management),tools for software configuration management
LINQ,query languages
LINQ,resource description framework query language
electricity,alternative fuels
Source (digital game creation systems),digital game creation systems
perfume and cosmetic products,cosmetics industry
perfume and cosmetic products,product comprehension
fish anatomy,anatomy of animals
data quality assessment,quality assurance methodologies
Python (computer programming),computer programming
Gamemaker Studio,digital game creation systems
iOS,mobile operating systems
"mining, construction and civil engineering machinery products",product comprehension
international carriage of dangerous goods by road,handling of dangerous goods
international carriage of dangerous goods by road,laws on the transportation of dangerous goods
cosmetics industry,cosmetics
ethics,philosophy
neurophysiology of animals,anatomy of animals
neurophysiology of animals,neurophysiology
neurophysiology of animals,physiology of animals
leadership in nursing,leadership principles
Canvas (learning management systems),learning management systems
mechanical engineering applicable to edible oil seed,mechanical engineering
mechanical engineering applicable to edible oil seed,principles of mechanical engineering
reinsurance,principles of insurance
track geometry,standards of track geometry
Unity (digital game creation systems),digital game creation systems
resource-efficient technologies,sustainable technologies
Joomla,WebCMS
public administration,political science
winery production process,beverages production process
winery production process,production processes
GDPR,EU law
Adobe Photoshop Lightroom,graphics editor software
quality control systems,control systems
Scratch (computer programming),computer programming
Process-based management,ICT project management methodologies
brewhouse processes,manufacturing processes
brewhouse processes,production processes
nutrients of confectionery,"sugar, chocolate and sugar confectionery products"
"coffee, tea, cocoa and spice products",product comprehension
publishing strategy,content development processes
ethics of sharing work through social media,social media management
community-led local development,urban planning
national waterways,european classification of inland waterways
national waterways,international waterways
technical terminology,terminology
musical instruments materials,musical instruments
Taleo,learning management systems
Android (mobile operating systems),mobile operating systems
Teradata Database,database management systems
lean project management,ICT project management methodologies
sustainable building materials,building materials industry
Agile development,ICT project management methodologies
textile printing technology,printing media
textile printing technology,textile technologies
integrated pest management,pest management techniques
office furniture products,manufacturing of furniture
office furniture products,product comprehension
maintenance of printing machines,printing on large scale machines
VBScript,computer programming
traffic engineering,civil engineering
Oracle Relational Database,database management systems
hot forging,forging processes
COBOL,computer programming
hardware architectures,ICT infrastructure
veterinary clinical sciences,biomedical science
veterinary clinical sciences,clinical science
stenography,transcription methods
protective safety equipment,personal protective equipment
gender studies,sociology
marine energy,renewable energy
household products,product comprehension
conditions for the professional practice of psychotherapy,psychotherapy principles
photovoltaic systems,solar energy
Hadoop,software frameworks
food preservation,food toxicity
footwear quality,quality standards
SAS Data Management,"data extraction, transformation and loading tools"
CSS,style sheet languages
honey extractors types,honey constituents
ergonomics in footwear and leather goods design,ergonomics
semantics,linguistics
medicines for self-medication,medicines
WhiteHat Sentinel,penetration testing tool
MarkLogic,database management systems
audio mastering,master disc manufacturing
Pascal (computer programming),computer programming
data ethics,ethics
environmental indoor quality,pollution prevention
alternative fuels,types of fuels
psychological healthcare services,characteristics of services
commercial photography,photography
natural history,history
ABAP,computer programming
architectural conservation,conservation techniques
clinical neurophysiology,neurophysiology
types of engraving needles,engraving technologies
deep learning,principles of artificial intelligence
Prototyping development,ICT project management methodologies
vehicle manufacturing process,manufacturing processes
district heating and cooling,energy efficiency
set theory,mathematics
live animal products,animal food products
live animal products,product comprehension
Nexpose,penetration testing tool
integrated design,architectural design
DevOps,ICT project management methodologies
market entry planning,market entry strategies
paediatric psychology,psychological theories
animal transportation vehicles,types of vehicles
flower and plant products,product comprehension
THC Hydra,penetration testing tool
OmniPage,optical character recognition software
Jenkins (tools for software configuration management),tools for software configuration management
machine tools,product comprehension
N1QL,query languages
N1QL,resource description framework query language
engine components,principles of mechanical engineering
traceability in food industry,animal food products
battery formation,energy storage systems
renewable energy,energy
types of audiological equipment,audiology
glassware products,product comprehension
SAP Data Services,"data extraction, transformation and loading tools"
typology,linguistics
geographical areas relevant to tourism,geographic areas
geographical areas relevant to tourism,geography
podiatric surgery,general surgery
animal anatomy for food production,anatomy of animals
animal anatomy for food production,animal production science
challenging issues in the textile industry,textile industry
geostationary satellites,types of satellites
